Time[s], MOSI, MISO, SCLK, CSC
-1.250000000000000, 0, 0, 0, 1
-0.000003375000000, 1, 0, 0, 1
0.000000000000000, 1, 0, 1, 1
0.000172500000000, 1, 1, 1, 1
0.000897500000000, 1, 0, 1, 1
1.791380000000000, 1, 1, 1, 1
1.791389875000000, 0, 1, 0, 1
1.891186375000000, 0, 0, 0, 1
1.891186875000000, 0, 0, 1, 1
1.891187000000000, 0, 0, 0, 1
1.891187125000000, 0, 0, 1, 1
1.891187250000000, 1, 0, 0, 1
1.891187375000000, 1, 0, 1, 1
1.891187500000000, 1, 0, 0, 1
1.891187625000000, 1, 0, 1, 1
1.891187750000000, 0, 1, 0, 1
1.891188000000000, 0, 1, 1, 1
1.891188125000000, 0, 1, 0, 1
1.891188250000000, 0, 1, 1, 1
1.891188375000000, 0, 1, 0, 1
1.891188500000000, 0, 1, 1, 1
1.891188625000000, 0, 1, 0, 1
1.892180625000000, 0, 0, 0, 1
1.892181125000000, 0, 0, 1, 1
1.892181250000000, 0, 0, 0, 1
1.892181375000000, 0, 0, 1, 1
1.892181500000000, 0, 0, 0, 1
1.892181625000000, 0, 0, 1, 1
1.892181750000000, 0, 0, 0, 1
1.892181875000000, 0, 0, 1, 1
1.892182000000000, 0, 1, 1, 1
1.892182125000000, 0, 1, 0, 1
1.892182250000000, 0, 1, 1, 1
1.892182375000000, 1, 1, 0, 1
1.892182500000000, 1, 1, 1, 1
1.892182625000000, 0, 1, 0, 1
1.892182750000000, 0, 1, 1, 1
1.892182875000000, 0, 0, 0, 1
1.892183625000000, 0, 0, 1, 1
1.892183750000000, 1, 0, 0, 1
1.892183875000000, 1, 0, 1, 1
1.892184000000000, 0, 0, 0, 1
1.892184125000000, 0, 0, 1, 1
1.892184250000000, 1, 1, 0, 1
1.892184375000000, 1, 1, 1, 1
1.892184625000000, 1, 1, 0, 1
1.892184750000000, 1, 1, 1, 1
1.892184875000000, 1, 1, 0, 1
1.892185000000000, 1, 1, 1, 1
1.892185125000000, 0, 0, 0, 1
1.892187625000000, 0, 0, 1, 1
1.892187750000000, 0, 0, 0, 1
1.892187875000000, 0, 0, 1, 1
1.892188000000000, 0, 0, 0, 1
1.892188250000000, 0, 0, 1, 1
1.892188375000000, 0, 1, 0, 1
1.892188500000000, 0, 1, 1, 1
1.892188625000000, 0, 1, 0, 1
1.892188750000000, 0, 1, 1, 1
1.892188875000000, 0, 1, 0, 1
1.892189125000000, 0, 1, 1, 1
1.892189250000000, 0, 0, 0, 1
1.892189875000000, 0, 0, 1, 1
1.892190000000000, 0, 0, 0, 1
1.892190125000000, 0, 0, 1, 1
1.892190250000000, 1, 0, 0, 1
1.892190375000000, 1, 0, 1, 1
1.892190500000000, 0, 0, 0, 1
1.892190625000000, 1, 1, 0, 1
1.892190750000000, 1, 1, 1, 1
1.892190875000000, 1, 1, 0, 1
1.892191000000000, 1, 1, 1, 1
1.892191125000000, 1, 1, 0, 1
1.892191250000000, 1, 1, 1, 1
1.892191375000000, 1, 1, 0, 1
1.892191625000000, 0, 0, 0, 1
1.892193625000000, 1, 0, 0, 1
1.892193875000000, 1, 0, 1, 1
1.892194000000000, 0, 0, 0, 1
1.892194250000000, 0, 0, 1, 1
1.892194375000000, 0, 0, 0, 1
1.892194500000000, 0, 0, 1, 1
1.892194625000000, 1, 0, 0, 1
1.892194750000000, 1, 0, 1, 1
1.892194875000000, 1, 0, 0, 1
1.892195000000000, 1, 0, 1, 1
1.892195250000000, 0, 0, 0, 1
1.892195375000000, 0, 0, 1, 1
1.892195500000000, 1, 1, 0, 1
1.892196000000000, 0, 1, 0, 1
1.892196250000000, 0, 1, 1, 1
1.892196375000000, 0, 1, 0, 1
1.892196500000000, 0, 1, 1, 1
1.892196625000000, 0, 0, 1, 1
1.892196750000000, 0, 0, 0, 1
