Time[s], MOSI, MISO, SCLK, CS, CE
-0.625000000000000, 0, 0, 0, 1, 0
-0.000038562500000, 1, 0, 0, 1, 0
-0.000004125000000, 0, 0, 0, 1, 0
-0.000004062500000, 1, 0, 0, 1, 0
0.000000000000000, 1, 0, 1, 1, 0
0.000045062500000, 1, 0, 1, 1, 1
0.000061625000000, 1, 1, 1, 1, 1
0.000061687500000, 1, 0, 1, 1, 1
0.000062000000000, 1, 1, 1, 1, 1
0.000890812500000, 1, 0, 1, 1, 1
1.643767187500000, 1, 1, 1, 1, 1
1.643767312500000, 1, 0, 1, 1, 1
1.643780562500000, 1, 1, 1, 1, 1
1.643782062500000, 1, 0, 1, 1, 1
1.643795250000000, 1, 1, 1, 1, 1
1.643796812500000, 1, 0, 1, 1, 1
1.643817875000000, 1, 1, 1, 1, 1
1.643819000000000, 1, 0, 1, 1, 1
1.643825937500000, 1, 1, 1, 1, 1
1.643826375000000, 1, 0, 1, 1, 1
1.643853937500000, 1, 1, 1, 1, 1
1.643855937500000, 1, 0, 1, 1, 1
1.643861937500000, 1, 1, 1, 1, 1
1.643863312500000, 1, 0, 1, 1, 1
1.643869875000000, 1, 1, 1, 1, 1
1.643870687500000, 1, 0, 1, 1, 1
1.643876562500000, 1, 1, 1, 1, 1
1.643878062500000, 1, 0, 1, 1, 1
1.643884562500000, 1, 1, 1, 1, 1
1.643885500000000, 1, 0, 1, 1, 1
1.643892562500000, 1, 1, 1, 1, 1
1.643892875000000, 1, 0, 1, 1, 1
1.643905937500000, 1, 1, 1, 1, 1
1.643907625000000, 1, 0, 1, 1, 1
1.643913937500000, 1, 1, 1, 1, 1
1.643915000000000, 1, 0, 1, 1, 1
1.643920625000000, 1, 1, 1, 1, 1
1.643922437500000, 1, 0, 1, 1, 1
1.643928562500000, 1, 1, 1, 1, 1
1.643929812500000, 1, 0, 1, 1, 1
1.643935250000000, 1, 1, 1, 1, 1
1.643937187500000, 1, 0, 1, 1, 1
1.643943250000000, 1, 1, 1, 1, 1
1.643944562500000, 1, 0, 1, 1, 1
1.643951250000000, 1, 1, 1, 1, 1
1.643951937500000, 1, 0, 1, 1, 1
1.643957937500000, 1, 1, 1, 1, 1
1.643959375000000, 1, 0, 1, 1, 1
1.643965937500000, 1, 1, 1, 1, 1
1.643966750000000, 1, 0, 1, 1, 1
1.643972625000000, 1, 1, 1, 1, 1
1.643974125000000, 1, 0, 1, 1, 1
1.643979437500000, 1, 1, 1, 1, 1
1.643981500000000, 1, 0, 1, 1, 1
1.643987250000000, 1, 1, 1, 1, 1
1.643988875000000, 1, 0, 1, 1, 1
1.643994187500000, 1, 1, 1, 1, 1
1.643994312500000, 1, 0, 1, 1, 1
1.643994437500000, 1, 1, 1, 1, 1
1.643996250000000, 1, 0, 1, 1, 1
1.644001937500000, 1, 1, 1, 1, 1
1.644003687500000, 1, 0, 1, 1, 1
1.644009875000000, 1, 1, 1, 1, 1
1.644011062500000, 1, 0, 1, 1, 1
1.644016625000000, 1, 1, 1, 1, 1
1.644018437500000, 1, 0, 1, 1, 1
1.644024625000000, 1, 1, 1, 1, 1
1.644025812500000, 1, 0, 1, 1, 1
1.644031250000000, 1, 1, 1, 1, 1
1.644033187500000, 1, 0, 1, 1, 1
1.644039312500000, 1, 1, 1, 1, 1
1.644040625000000, 1, 0, 1, 1, 1
1.644046000000000, 1, 1, 1, 1, 1
1.644048000000000, 1, 0, 1, 1, 1
1.644053937500000, 1, 1, 1, 1, 1
1.644055375000000, 1, 0, 1, 1, 1
1.644060687500000, 1, 1, 1, 1, 1
1.644062750000000, 1, 0, 1, 1, 1
1.644068625000000, 1, 1, 1, 1, 1
1.644070125000000, 1, 0, 1, 1, 1
1.644075437500000, 1, 1, 1, 1, 1
1.644077562500000, 1, 0, 1, 1, 1
1.644083250000000, 1, 1, 1, 1, 1
1.644084937500000, 1, 0, 1, 1, 1
1.644090250000000, 1, 1, 1, 1, 1
1.644090375000000, 1, 0, 1, 1, 1
1.644090500000000, 1, 1, 1, 1, 1
1.644092312500000, 1, 0, 1, 1, 1
1.644098000000000, 1, 1, 1, 1, 1
1.644099687500000, 1, 0, 1, 1, 1
1.644105937500000, 1, 1, 1, 1, 1
1.644107062500000, 1, 0, 1, 1, 1
1.644112625000000, 1, 1, 1, 1, 1
1.644114437500000, 1, 0, 1, 1, 1
1.644120625000000, 1, 1, 1, 1, 1
1.644121875000000, 1, 0, 1, 1, 1
1.644127312500000, 1, 1, 1, 1, 1
1.644129250000000, 1, 0, 1, 1, 1
1.644135312500000, 1, 1, 1, 1, 1
1.644136625000000, 1, 0, 1, 1, 1
1.644141937500000, 1, 1, 1, 1, 1
1.644144000000000, 1, 0, 1, 1, 1
1.644149937500000, 1, 1, 1, 1, 1
1.644151375000000, 1, 0, 1, 1, 1
1.644156687500000, 1, 1, 1, 1, 1
1.644158812500000, 1, 0, 1, 1, 1
1.644164625000000, 1, 1, 1, 1, 1
1.644166187500000, 1, 0, 1, 1, 1
1.644172625000000, 1, 1, 1, 1, 1
1.644173562500000, 1, 0, 1, 1, 1
1.644179312500000, 1, 1, 1, 1, 1
1.644180937500000, 1, 0, 1, 1, 1
1.644187312500000, 1, 1, 1, 1, 1
1.644188312500000, 1, 0, 1, 1, 1
1.644194000000000, 1, 1, 1, 1, 1
1.644195750000000, 1, 0, 1, 1, 1
1.644201937500000, 1, 1, 1, 1, 1
1.644203125000000, 1, 0, 1, 1, 1
1.644208687500000, 1, 1, 1, 1, 1
1.644210500000000, 1, 0, 1, 1, 1
1.644216625000000, 1, 1, 1, 1, 1
1.644217875000000, 1, 0, 1, 1, 1
1.644223312500000, 1, 1, 1, 1, 1
1.644225250000000, 1, 0, 1, 1, 1
1.644231062500000, 1, 1, 1, 1, 1
1.644232625000000, 1, 0, 1, 1, 1
1.644238000000000, 1, 1, 1, 1, 1
1.644240062500000, 1, 0, 1, 1, 1
1.644246000000000, 1, 1, 1, 1, 1
1.644247437500000, 1, 0, 1, 1, 1
1.644252750000000, 1, 1, 1, 1, 1
1.644254812500000, 1, 0, 1, 1, 1
1.644260687500000, 1, 1, 1, 1, 1
1.644262187500000, 1, 0, 1, 1, 1
1.644268687500000, 1, 1, 1, 1, 1
1.644269562500000, 1, 0, 1, 1, 1
1.644275312500000, 1, 1, 1, 1, 1
1.644277000000000, 1, 0, 1, 1, 1
1.644282312500000, 1, 1, 1, 1, 1
1.644282375000000, 1, 0, 1, 1, 1
1.644282500000000, 1, 1, 1, 1, 1
1.644284375000000, 1, 0, 1, 1, 1
1.644290000000000, 1, 1, 1, 1, 1
1.644291750000000, 1, 0, 1, 1, 1
1.644298062500000, 1, 1, 1, 1, 1
1.644299125000000, 1, 0, 1, 1, 1
1.644304687500000, 1, 1, 1, 1, 1
1.644306500000000, 1, 0, 1, 1, 1
1.644312562500000, 1, 1, 1, 1, 1
1.644313937500000, 1, 0, 1, 1, 1
1.644320687500000, 1, 1, 1, 1, 1
1.644321312500000, 1, 0, 1, 1, 1
1.644327375000000, 1, 1, 1, 1, 1
1.644328687500000, 1, 0, 1, 1, 1
1.644334125000000, 1, 1, 1, 1, 1
1.644336062500000, 1, 0, 1, 1, 1
1.644342000000000, 1, 1, 1, 1, 1
1.644343437500000, 1, 0, 1, 1, 1
1.644348812500000, 1, 1, 1, 1, 1
1.644350812500000, 1, 0, 1, 1, 1
1.644356687500000, 1, 1, 1, 1, 1
1.644358250000000, 1, 0, 1, 1, 1
1.644363562500000, 1, 1, 1, 1, 1
1.644365625000000, 1, 0, 1, 1, 1
1.644372687500000, 1, 1, 1, 1, 1
1.644373000000000, 1, 0, 1, 1, 1
1.644379375000000, 1, 1, 1, 1, 1
1.644380375000000, 1, 0, 1, 1, 1
1.644386062500000, 1, 1, 1, 1, 1
1.644387750000000, 1, 0, 1, 1, 1
1.644394000000000, 1, 1, 1, 1, 1
1.644395187500000, 1, 0, 1, 1, 1
1.644400750000000, 1, 1, 1, 1, 1
1.644402562500000, 1, 0, 1, 1, 1
1.644408750000000, 1, 1, 1, 1, 1
1.644409937500000, 1, 0, 1, 1, 1
1.644415375000000, 1, 1, 1, 1, 1
1.644417312500000, 1, 0, 1, 1, 1
1.644423375000000, 1, 1, 1, 1, 1
1.644424687500000, 1, 0, 1, 1, 1
1.644431375000000, 1, 1, 1, 1, 1
1.644432062500000, 1, 0, 1, 1, 1
1.644438062500000, 1, 1, 1, 1, 1
1.644439500000000, 1, 0, 1, 1, 1
1.644446062500000, 1, 1, 1, 1, 1
1.644446875000000, 1, 0, 1, 1, 1
1.644454062500000, 1, 1, 1, 1, 1
1.644454250000000, 1, 0, 1, 1, 1
1.644460687500000, 1, 1, 1, 1, 1
1.644461625000000, 1, 0, 1, 1, 1
1.644468750000000, 1, 1, 1, 1, 1
1.644469000000000, 1, 0, 1, 1, 1
1.644475375000000, 1, 1, 1, 1, 1
1.644476437500000, 1, 0, 1, 1, 1
1.644483375000000, 1, 1, 1, 1, 1
1.644483812500000, 1, 0, 1, 1, 1
1.644498062500000, 1, 1, 1, 1, 1
1.644498562500000, 1, 0, 1, 1, 1
1.644511437500000, 1, 1, 1, 1, 1
1.644513375000000, 1, 0, 1, 1, 1
1.644550062500000, 1, 1, 1, 1, 1
1.644550250000000, 1, 0, 1, 1, 1
1.644571437500000, 1, 1, 1, 1, 1
1.644572437500000, 1, 0, 1, 1, 1
1.644586062500000, 1, 1, 1, 1, 1
1.644587187500000, 1, 0, 1, 1, 1
1.644600750000000, 1, 1, 1, 1, 1
1.644602000000000, 1, 0, 1, 1, 1
1.660135437500000, 1, 1, 1, 1, 1
1.660136187500000, 1, 0, 1, 1, 1
1.660150125000000, 1, 1, 1, 1, 1
1.660150937500000, 1, 0, 1, 1, 1
1.660164750000000, 1, 1, 1, 1, 1
1.660165750000000, 1, 0, 1, 1, 1
1.660172750000000, 1, 1, 1, 1, 1
1.660173125000000, 1, 0, 1, 1, 1
1.660179437500000, 1, 1, 1, 1, 1
1.660180500000000, 1, 0, 1, 1, 1
