Time[s], MOSI, MISO, SCLK, CSC, PKT, RET
0.567503250000000, 1, 0, 1, 0, 0, 1
0.567503750000000, 1, 0, 0, 0, 0, 1
0.567511000000000, 0, 0, 0, 0, 0, 1
0.567512000000000, 0, 1, 1, 0, 0, 1
0.567512500000000, 0, 1, 0, 0, 0, 1
0.567523250000000, 1, 1, 0, 0, 0, 1
0.567524625000000, 1, 0, 1, 0, 0, 1
0.567525250000000, 1, 0, 0, 0, 0, 1
0.567532500000000, 0, 0, 0, 0, 0, 1
0.567533500000000, 0, 0, 1, 0, 0, 1
0.567534000000000, 0, 0, 0, 0, 0, 1
0.567542250000000, 0, 0, 1, 0, 0, 1
0.567542750000000, 0, 0, 0, 0, 0, 1
0.567551000000000, 0, 0, 1, 0, 0, 1
0.567551500000000, 0, 0, 0, 0, 0, 1
0.567559750000000, 0, 0, 1, 0, 0, 1
0.567560250000000, 0, 0, 0, 0, 0, 1
0.567568500000000, 0, 0, 1, 0, 0, 1
0.567569125000000, 0, 0, 0, 0, 0, 1
0.567577375000000, 0, 0, 1, 0, 0, 1
0.567577875000000, 0, 0, 0, 0, 0, 1
0.567584625000000, 1, 0, 0, 0, 0, 1
0.567586125000000, 1, 1, 1, 0, 0, 1
0.567586625000000, 1, 1, 0, 0, 0, 1
0.567591000000000, 1, 1, 0, 1, 0, 1
0.567595875000000, 1, 1, 0, 0, 0, 1
0.567603250000000, 0, 1, 0, 0, 0, 1
0.567604125000000, 0, 0, 1, 0, 0, 1
0.567604625000000, 0, 0, 0, 0, 0, 1
0.567612875000000, 0, 0, 1, 0, 0, 1
0.567613500000000, 0, 0, 0, 0, 0, 1
0.567621750000000, 0, 0, 1, 0, 0, 1
0.567622250000000, 0, 0, 0, 0, 0, 1
0.567630500000000, 0, 0, 1, 0, 0, 1
0.567631000000000, 0, 0, 0, 0, 0, 1
0.567639250000000, 0, 0, 1, 0, 0, 1
0.567639750000000, 0, 0, 0, 0, 0, 1
0.567648000000000, 0, 0, 1, 0, 0, 1
0.567648500000000, 0, 0, 0, 0, 0, 1
0.567655375000000, 1, 0, 0, 0, 0, 1
0.567656750000000, 1, 0, 1, 0, 0, 1
0.567657375000000, 1, 0, 0, 0, 0, 1
0.567664625000000, 0, 0, 0, 0, 0, 1
0.567665625000000, 0, 1, 1, 0, 0, 1
0.567666125000000, 0, 1, 0, 0, 0, 1
0.567678250000000, 0, 0, 1, 0, 0, 1
0.567678750000000, 0, 0, 0, 0, 0, 1
0.567685625000000, 1, 0, 0, 0, 0, 1
0.567687000000000, 1, 0, 1, 0, 0, 1
0.567687500000000, 1, 0, 0, 0, 0, 1
0.567695750000000, 1, 0, 1, 0, 0, 1
0.567696375000000, 1, 0, 0, 0, 0, 1
0.567703625000000, 0, 0, 0, 0, 0, 1
0.567704625000000, 0, 0, 1, 0, 0, 1
0.567705125000000, 0, 0, 0, 0, 0, 1
0.567713375000000, 0, 0, 1, 0, 0, 1
0.567713875000000, 0, 0, 0, 0, 0, 1
0.567720625000000, 1, 0, 0, 0, 0, 1
0.567722125000000, 1, 0, 1, 0, 0, 1
0.567722625000000, 1, 0, 0, 0, 0, 1
0.567730875000000, 1, 0, 1, 0, 0, 1
0.567731500000000, 1, 0, 0, 0, 0, 1
0.567738750000000, 0, 0, 0, 0, 0, 1
0.567739625000000, 0, 1, 1, 0, 0, 1
0.567740250000000, 0, 1, 0, 0, 0, 1
0.567752375000000, 0, 0, 1, 0, 0, 1
0.567752875000000, 0, 0, 0, 0, 0, 1
0.567761125000000, 0, 0, 1, 0, 0, 1
0.567761625000000, 0, 0, 0, 0, 0, 1
0.567769875000000, 0, 0, 1, 0, 0, 1
0.567770500000000, 0, 0, 0, 0, 0, 1
0.567777250000000, 1, 0, 0, 0, 0, 1
0.567778625000000, 1, 0, 1, 0, 0, 1
0.567779250000000, 1, 0, 0, 0, 0, 1
0.567786500000000, 0, 0, 0, 0, 0, 1
0.567787500000000, 0, 0, 1, 0, 0, 1
0.567788000000000, 0, 0, 0, 0, 0, 1
0.567794750000000, 1, 0, 0, 0, 0, 1
0.567796250000000, 1, 0, 1, 0, 0, 1
0.567796750000000, 1, 0, 0, 0, 0, 1
0.567805000000000, 1, 0, 1, 0, 0, 1
0.567805500000000, 1, 0, 0, 0, 0, 1
0.567813750000000, 1, 1, 1, 0, 0, 1
0.567814375000000, 1, 1, 0, 0, 0, 1
0.567818625000000, 1, 1, 0, 1, 0, 1
0.567823625000000, 1, 1, 0, 0, 0, 1
0.567830875000000, 0, 1, 0, 0, 0, 1
0.567831875000000, 0, 0, 1, 0, 0, 1
