Time [s],MOSI,MISO,SPI_CLK,SPI_SS,PKT_flag,RESET_n
-0.001000000,0,0,0,0,1,0
-0.000035708,0,0,0,0,1,1
-0.000027708,0,0,0,0,0,1
-0.000001583,0,0,1,0,0,1
-0.000000792,1,0,1,0,0,1
-0.000000000,1,0,1,1,0,1
0.000064667,1,1,1,1,0,1
0.000065500,1,1,1,1,1,1
0.003898208,0,1,0,1,1,1
0.007864083,1,1,1,1,1,1
0.012823250,0,1,0,1,1,1
0.077814750,1,1,1,1,1,1
0.107336333,0,1,0,1,1,1
0.119935958,1,1,1,1,1,1
0.135503042,0,1,0,1,1,1
0.282579625,0,1,0,1,0,0
0.287547667,0,1,0,1,0,1
0.297484583,0,1,0,0,0,1
0.297484625,0,0,0,0,0,1
0.297486708,0,0,1,0,0,1
0.297487667,0,0,0,0,0,1
0.297488625,0,0,1,0,0,1
0.297489583,0,0,0,0,0,1
0.297490500,0,0,1,0,0,1
0.297491458,0,0,0,0,0,1
0.297492417,0,0,1,0,0,1
0.297493375,0,0,0,0,0,1
0.297494292,0,0,1,0,0,1
0.297495250,0,0,0,0,0,1
0.297496208,0,0,1,0,0,1
0.297497167,0,0,0,0,0,1
0.297498083,0,0,1,0,0,1
0.297499042,0,0,0,0,0,1
0.297500000,0,1,1,0,0,1
0.297500958,0,1,0,0,0,1
0.297504750,0,0,1,0,0,1
0.297505708,0,0,0,0,0,1
0.297506625,0,0,1,0,0,1
0.297506667,1,0,1,0,0,1
0.297507583,1,0,0,0,0,1
0.297508542,1,0,1,0,0,1
0.297509500,1,0,0,0,0,1
0.297510417,1,0,1,0,0,1
0.297510458,0,0,1,0,0,1
0.297511375,0,0,0,0,0,1
0.297512333,1,0,1,0,0,1
0.297513292,1,0,0,0,0,1
0.297514250,1,0,1,0,0,1
0.297515167,1,0,0,0,0,1
0.297516125,1,0,1,0,0,1
0.297517083,1,0,0,0,0,1
0.297518042,1,1,1,0,0,1
0.297518958,1,1,0,0,0,1
0.297522833,1,0,1,0,0,1
0.297523750,1,0,0,0,0,1
0.297524708,1,0,1,0,0,1
0.297525667,1,0,0,0,0,1
0.297526625,1,0,1,0,0,1
0.297527583,1,0,0,0,0,1
0.297528500,1,0,1,0,0,1
0.297528542,0,0,1,0,0,1
0.297529458,0,0,0,0,0,1
0.297530417,0,0,1,0,0,1
0.297531375,0,0,0,0,0,1
0.297532292,0,0,1,0,0,1
0.297533250,0,0,0,0,0,1
0.297534208,0,0,1,0,0,1
0.297535167,0,0,0,0,0,1
0.297536083,0,0,1,0,0,1
0.297536125,0,1,1,0,0,1
0.297537042,0,1,0,0,0,1
0.297538917,0,1,0,1,0,1
0.297540375,0,1,0,0,0,1
0.297542458,0,0,1,0,0,1
0.297543417,0,0,0,0,0,1
0.297544375,0,0,1,0,0,1
0.297545333,0,0,0,0,0,1
0.297546250,0,0,1,0,0,1
0.297547208,0,0,0,0,0,1
0.297548167,0,0,1,0,0,1
0.297549125,0,0,0,0,0,1
0.297550083,0,0,1,0,0,1
0.297551000,0,0,0,0,0,1
0.297551958,0,0,1,0,0,1
0.297552917,0,0,0,0,0,1
0.297553875,0,0,1,0,0,1
0.297554792,0,0,0,0,0,1
0.297555750,1,1,1,0,0,1
0.297556708,1,1,0,0,0,1
0.297560500,0,0,1,0,0,1
0.297561458,0,0,0,0,0,1
0.297562417,1,0,1,0,0,1
0.297563333,1,0,0,0,0,1
0.297564292,0,0,1,0,0,1
0.297565250,0,0,0,0,0,1
0.297566208,1,0,1,0,0,1
0.297567125,1,0,0,0,0,1
0.297568083,0,0,1,0,0,1
0.297569042,0,0,0,0,0,1
0.297570000,1,0,1,0,0,1
0.297570917,1,0,0,0,0,1
0.297571875,1,0,1,0,0,1
0.297572833,1,0,0,0,0,1
0.297573792,0,1,1,0,0,1
0.297574750,0,1,0,0,0,1
0.297578583,1,0,1,0,0,1
0.297579542,1,0,0,0,0,1
0.297580458,1,0,1,0,0,1
0.297580500,0,0,1,0,0,1
0.297581417,0,0,0,0,0,1
0.297582375,0,0,1,0,0,1
0.297583333,0,0,0,0,0,1
0.297584250,0,0,1,0,0,1
0.297585208,0,0,0,0,0,1
0.297586167,0,0,1,0,0,1
0.297587125,0,0,0,0,0,1
0.297588042,0,0,1,0,0,1
0.297589000,0,0,0,0,0,1
0.297589958,0,0,1,0,0,1
0.297590917,0,0,0,0,0,1
0.297591875,1,1,1,0,0,1
0.297592792,1,1,0,0,0,1
0.297594667,1,1,0,1,0,1
0.297596083,1,1,0,0,0,1
0.297598167,1,0,1,0,0,1
0.297598208,0,0,1,0,0,1
0.297599125,0,0,0,0,0,1
0.297600083,0,0,1,0,0,1
0.297601042,0,0,0,0,0,1
0.297601958,0,0,1,0,0,1
0.297602917,0,0,0,0,0,1
0.297603875,0,0,1,0,0,1
0.297604833,0,0,0,0,0,1
0.297605750,0,0,1,0,0,1
0.297606708,0,0,0,0,0,1
0.297607667,0,0,1,0,0,1
0.297608625,0,0,0,0,0,1
0.297609583,1,0,1,0,0,1
0.297610500,1,0,0,0,0,1
0.297611458,0,1,1,0,0,1
0.297612417,0,1,0,0,0,1
0.297616208,0,0,1,0,0,1
0.297617167,0,0,0,0,0,1
0.297618125,1,0,1,0,0,1
0.297619042,1,0,0,0,0,1
0.297620000,1,0,1,0,0,1
0.297620958,1,0,0,0,0,1
0.297621917,0,0,1,0,0,1
0.297622833,0,0,0,0,0,1
0.297623792,0,0,1,0,0,1
0.297624750,0,0,0,0,0,1
0.297625708,1,0,1,0,0,1
0.297626625,1,0,0,0,0,1
0.297627583,1,0,1,0,0,1
0.297628542,1,0,0,0,0,1
0.297629500,0,1,1,0,0,1
0.297630458,0,1,0,0,0,1
0.297634292,0,0,1,0,0,1
0.297635208,0,0,0,0,0,1
0.297636167,0,0,1,0,0,1
0.297637125,0,0,0,0,0,1
0.297638083,0,0,1,0,0,1
0.297639042,0,0,0,0,0,1
