Time[s], SI, SO, SCLK, CSn, GDO2
-0.578899000000000, 0, 0, 0, 0, 0
-0.000001125000000, 0, 0, 0, 1, 0
0.000000000000000, 0, 0, 1, 1, 0
0.000002500000000, 1, 1, 1, 1, 0
0.000089875000000, 1, 1, 1, 1, 1
0.000902000000000, 1, 1, 1, 1, 0
0.002554750000000, 0, 0, 0, 0, 0
0.002566500000000, 0, 0, 0, 1, 0
0.002567000000000, 0, 1, 0, 1, 0
0.002578250000000, 0, 0, 0, 0, 0
0.002590000000000, 0, 0, 0, 1, 0
0.002590375000000, 0, 1, 0, 1, 0
0.003024875000000, 0, 0, 0, 0, 0
0.003025375000000, 0, 0, 1, 0, 0
0.003025875000000, 0, 0, 0, 0, 0
0.003026125000000, 0, 0, 1, 0, 0
0.003026500000000, 0, 0, 0, 0, 0
0.003026625000000, 1, 0, 0, 0, 0
0.003026750000000, 1, 0, 1, 0, 0
0.003027125000000, 1, 0, 0, 0, 0
0.003027375000000, 1, 0, 1, 0, 0
0.003027625000000, 1, 1, 0, 0, 0
0.003027750000000, 0, 1, 0, 0, 0
0.003027875000000, 0, 1, 1, 0, 0
0.003028375000000, 0, 1, 0, 0, 0
0.003028625000000, 0, 1, 1, 0, 0
0.003029000000000, 0, 1, 0, 0, 0
0.003029250000000, 0, 1, 1, 0, 0
0.003029625000000, 0, 1, 0, 0, 0
0.003029875000000, 0, 1, 1, 0, 1
0.003030250000000, 0, 1, 0, 0, 1
0.003065750000000, 0, 0, 0, 0, 0
0.003066125000000, 0, 0, 0, 1, 0
0.003066625000000, 0, 1, 0, 1, 0
0.003067375000000, 0, 0, 0, 0, 0
0.003068250000000, 0, 0, 1, 0, 0
0.003068625000000, 0, 0, 0, 0, 0
0.003069125000000, 0, 0, 1, 0, 0
0.003069375000000, 0, 0, 0, 0, 0
0.003069875000000, 0, 0, 1, 0, 0
0.003070250000000, 0, 0, 0, 0, 0
0.003070750000000, 0, 0, 1, 0, 0
0.003071000000000, 0, 1, 0, 0, 0
0.003071375000000, 1, 1, 0, 0, 0
0.003071500000000, 1, 1, 1, 0, 0
0.003072000000000, 1, 1, 0, 0, 0
0.003072250000000, 0, 1, 0, 0, 0
0.003072375000000, 0, 1, 1, 0, 0
0.003072875000000, 0, 1, 0, 0, 0
0.003073125000000, 1, 1, 0, 0, 0
0.003073375000000, 1, 1, 1, 0, 0
0.003073750000000, 1, 1, 0, 0, 0
0.003074250000000, 1, 1, 1, 0, 0
0.003074750000000, 1, 0, 0, 0, 0
0.003075125000000, 0, 0, 0, 0, 0
0.003075250000000, 0, 0, 1, 0, 0
0.003075750000000, 0, 0, 0, 0, 0
0.003076125000000, 0, 0, 1, 0, 0
0.003076500000000, 0, 0, 0, 0, 0
0.003076875000000, 0, 0, 1, 0, 0
0.003077375000000, 0, 0, 0, 0, 0
0.003077750000000, 0, 0, 1, 0, 0
0.003078125000000, 0, 1, 0, 0, 0
0.003078500000000, 0, 1, 1, 0, 0
0.003079000000000, 0, 1, 0, 0, 0
0.003079250000000, 1, 1, 0, 0, 0
0.003079500000000, 1, 1, 1, 0, 0
0.003079875000000, 1, 1, 0, 0, 0
0.003080375000000, 1, 1, 1, 0, 0
0.003080875000000, 1, 1, 0, 0, 0
0.003081125000000, 0, 1, 0, 0, 0
0.003081250000000, 0, 1, 1, 0, 0
0.003081750000000, 0, 0, 0, 0, 0
0.003081875000000, 0, 0, 0, 1, 0
0.003082375000000, 0, 1, 0, 1, 0
0.003082875000000, 0, 0, 0, 0, 0
0.003083625000000, 0, 0, 1, 0, 0
0.003084125000000, 0, 0, 0, 0, 0
0.003084500000000, 0, 0, 1, 0, 0
0.003084875000000, 0, 0, 0, 0, 0
0.003085250000000, 0, 0, 1, 0, 0
0.003085750000000, 0, 0, 0, 0, 0
0.003086125000000, 0, 0, 1, 0, 0
0.003086500000000, 0, 1, 0, 0, 0
0.003086750000000, 1, 1, 0, 0, 0
0.003087000000000, 1, 1, 1, 0, 0
0.003087375000000, 1, 1, 0, 0, 0
0.003087875000000, 1, 1, 1, 0, 0
0.003088375000000, 1, 1, 0, 0, 0
0.003088625000000, 0, 1, 0, 0, 0
0.003088750000000, 0, 1, 1, 0, 0
0.003089250000000, 0, 1, 0, 0, 0
0.003089625000000, 0, 1, 1, 0, 0
0.003090125000000, 0, 0, 0, 0, 0
0.003090625000000, 0, 0, 1, 0, 0
0.003091125000000, 0, 0, 0, 0, 0
0.003091500000000, 0, 0, 1, 0, 0
0.003091875000000, 0, 0, 0, 0, 0
0.003092250000000, 0, 0, 1, 0, 0
0.003092750000000, 0, 0, 0, 0, 0
0.003093125000000, 0, 0, 1, 0, 0
0.003093500000000, 0, 1, 0, 0, 0
0.003093875000000, 0, 1, 1, 0, 0
0.003094375000000, 0, 1, 0, 0, 0
0.003094750000000, 0, 1, 1, 0, 0
0.003095250000000, 0, 1, 0, 0, 0
0.003095625000000, 0, 1, 1, 0, 0
0.003096125000000, 0, 1, 0, 0, 0
0.003096500000000, 0, 1, 1, 0, 0
0.003097000000000, 0, 0, 0, 0, 0
0.003097125000000, 0, 0, 0, 1, 0
