Time[s], SI, SO, SCLK, CSn, GDO2
-0.002670750000000, 1, 1, 0, 1, 1
-0.002044375000000, 1, 1, 0, 1, 0
-0.000000750000000, 1, 1, 0, 0, 0
-0.000000625000000, 1, 0, 0, 0, 0
-0.000000125000000, 0, 0, 0, 0, 0
0.000000000000000, 0, 0, 1, 0, 0
0.000000375000000, 0, 0, 0, 0, 0
0.000000625000000, 0, 0, 1, 0, 0
0.000000875000000, 0, 0, 0, 0, 0
0.000001000000000, 1, 0, 0, 0, 0
0.000001125000000, 1, 0, 1, 0, 0
0.000001625000000, 1, 0, 0, 0, 0
0.000001875000000, 1, 0, 1, 0, 0
0.000002250000000, 1, 1, 0, 0, 0
0.000002375000000, 0, 1, 0, 0, 0
0.000002500000000, 0, 1, 1, 0, 0
0.000002875000000, 0, 1, 0, 0, 0
0.000003000000000, 1, 1, 0, 0, 0
0.000003125000000, 1, 1, 1, 0, 0
0.000003500000000, 1, 1, 0, 0, 0
0.000003750000000, 1, 1, 1, 0, 0
0.000004250000000, 1, 1, 0, 0, 0
0.000004375000000, 0, 1, 0, 0, 0
0.000004500000000, 0, 1, 1, 0, 0
0.000004875000000, 0, 0, 0, 0, 0
0.000005375000000, 0, 0, 1, 0, 0
0.000005750000000, 0, 0, 0, 0, 0
0.000006000000000, 0, 0, 1, 0, 0
0.000006375000000, 0, 0, 0, 0, 0
0.000006500000000, 1, 0, 0, 0, 0
0.000006625000000, 1, 0, 1, 0, 0
0.000007000000000, 1, 0, 0, 0, 0
0.000007250000000, 1, 0, 1, 0, 0
0.000007625000000, 1, 0, 0, 0, 0
0.000007750000000, 1, 1, 0, 0, 0
0.000007875000000, 1, 1, 1, 0, 0
0.000008250000000, 1, 1, 0, 0, 0
0.000008500000000, 1, 1, 1, 0, 0
0.000009000000000, 1, 1, 0, 0, 0
0.000009125000000, 0, 1, 0, 0, 0
0.000009250000000, 0, 1, 1, 0, 0
0.000009625000000, 0, 1, 0, 0, 0
0.000009875000000, 1, 1, 1, 0, 0
0.000010375000000, 1, 0, 0, 0, 0
0.000010750000000, 1, 0, 0, 1, 0
0.000011125000000, 1, 1, 0, 1, 0
0.000012125000000, 1, 0, 0, 0, 0
0.000012875000000, 0, 0, 0, 0, 0
0.000013000000000, 0, 0, 1, 0, 0
0.000013375000000, 0, 0, 0, 0, 0
0.000013875000000, 0, 0, 1, 0, 0
0.000014125000000, 0, 0, 0, 0, 0
0.000014625000000, 0, 0, 1, 0, 0
0.000015000000000, 0, 0, 0, 0, 0
0.000015500000000, 0, 0, 1, 0, 0
0.000015750000000, 0, 1, 0, 0, 0
0.000016125000000, 1, 1, 0, 0, 0
0.000016250000000, 1, 1, 1, 0, 0
0.000016750000000, 1, 1, 0, 0, 0
0.000017000000000, 0, 1, 0, 0, 0
0.000017125000000, 0, 1, 1, 0, 0
0.000017625000000, 0, 1, 0, 0, 0
0.000017875000000, 1, 1, 0, 0, 0
0.000018125000000, 1, 1, 1, 0, 0
0.000018500000000, 1, 1, 0, 0, 0
0.000018875000000, 0, 1, 0, 0, 0
0.000019000000000, 0, 1, 1, 0, 0
0.000019375000000, 0, 0, 0, 0, 0
0.000019750000000, 1, 0, 0, 0, 0
0.000020000000000, 1, 0, 1, 0, 0
0.000020375000000, 1, 0, 0, 0, 0
0.000020750000000, 0, 0, 0, 0, 0
0.000020875000000, 0, 0, 1, 0, 0
0.000021125000000, 0, 0, 0, 0, 0
0.000021625000000, 0, 0, 1, 0, 0
0.000022000000000, 0, 0, 0, 0, 0
0.000022250000000, 1, 0, 0, 0, 0
0.000022500000000, 1, 0, 1, 0, 0
0.000022750000000, 1, 1, 0, 0, 0
0.000023125000000, 0, 1, 0, 0, 0
0.000023250000000, 0, 1, 1, 0, 0
0.000023625000000, 0, 1, 0, 0, 0
0.000024125000000, 0, 1, 1, 0, 0
0.000024500000000, 0, 1, 0, 0, 0
0.000025000000000, 0, 1, 1, 0, 0
0.000025375000000, 0, 1, 0, 0, 0
0.000025875000000, 0, 1, 1, 0, 0
0.000026250000000, 0, 0, 0, 0, 0
0.000026500000000, 0, 0, 0, 1, 0
0.000026875000000, 0, 1, 0, 1, 0
0.000027625000000, 0, 0, 0, 0, 0
0.000028250000000, 0, 0, 1, 0, 0
0.000028625000000, 0, 0, 0, 0, 0
0.000028875000000, 0, 0, 1, 0, 0
0.000029250000000, 0, 0, 0, 0, 0
0.000029375000000, 1, 0, 0, 0, 0
0.000029500000000, 1, 0, 1, 0, 0
0.000029875000000, 1, 0, 0, 0, 0
0.000030125000000, 1, 0, 1, 0, 0
0.000030500000000, 1, 1, 0, 0, 0
0.000030625000000, 0, 1, 0, 0, 0
0.000030750000000, 0, 1, 1, 0, 0
0.000031125000000, 0, 1, 0, 0, 0
0.000031250000000, 1, 1, 0, 0, 0
0.000031375000000, 1, 1, 1, 0, 0
0.000031875000000, 1, 1, 0, 0, 0
0.000032125000000, 1, 1, 1, 0, 0
0.000032500000000, 1, 1, 0, 0, 0
0.000032625000000, 0, 1, 0, 0, 0
0.000032750000000, 0, 1, 1, 0, 0
0.000033125000000, 0, 0, 0, 0, 0
0.000033750000000, 0, 0, 1, 0, 0
0.000034125000000, 0, 0, 0, 0, 0
0.000034375000000, 0, 0, 1, 0, 0
0.000034625000000, 0, 0, 0, 0, 0
0.000034750000000, 1, 0, 0, 0, 0
0.000034875000000, 1, 0, 1, 0, 0
0.000035375000000, 1, 0, 0, 0, 0
0.000035625000000, 1, 0, 1, 0, 0
0.000036000000000, 1, 1, 0, 0, 0
0.000036250000000, 1, 1, 1, 0, 0
0.000036625000000, 1, 1, 0, 0, 0
0.000036875000000, 1, 1, 1, 0, 0
0.000037250000000, 1, 1, 0, 0, 0
0.000037375000000, 0, 1, 0, 0, 0
0.000037500000000, 0, 1, 1, 0, 0
0.000038000000000, 0, 1, 0, 0, 0
0.000038125000000, 1, 1, 0, 0, 0
0.000038250000000, 1, 1, 1, 0, 0
0.000038625000000, 1, 0, 0, 0, 0
0.000039250000000, 0, 0, 0, 0, 0
0.000039375000000, 0, 0, 1, 0, 0
0.000039750000000, 0, 0, 0, 0, 0
0.000040000000000, 0, 0, 1, 0, 0
0.000040250000000, 0, 0, 0, 0, 0
0.000040375000000, 1, 0, 0, 0, 0
0.000040500000000, 1, 0, 1, 0, 0
0.000041000000000, 1, 0, 0, 0, 0
0.000041250000000, 1, 0, 1, 0, 0
0.000041625000000, 1, 1, 0, 0, 0
0.000041875000000, 1, 1, 1, 0, 0
0.000042250000000, 1, 1, 0, 0, 0
0.000042375000000, 0, 1, 0, 0, 0
0.000042500000000, 0, 1, 1, 0, 0
0.000042875000000, 0, 1, 0, 0, 0
0.000043000000000, 1, 1, 0, 0, 0
0.000043125000000, 1, 1, 1, 0, 0
0.000043625000000, 1, 1, 0, 0, 0
0.000043875000000, 1, 1, 1, 0, 0
0.000044250000000, 1, 0, 0, 0, 0
0.000044375000000, 1, 0, 0, 1, 0
0.000044625000000, 1, 0, 0, 0, 0
0.000045125000000, 0, 0, 0, 0, 0
0.000045250000000, 0, 0, 1, 0, 0
0.000045625000000, 0, 0, 0, 0, 0
0.000045875000000, 0, 0, 1, 0, 0
0.000046250000000, 0, 0, 0, 0, 0
0.000046375000000, 1, 0, 0, 0, 0
0.000046500000000, 1, 0, 1, 0, 0
0.000046750000000, 1, 0, 0, 0, 0
0.000047000000000, 1, 0, 1, 0, 0
0.000047500000000, 1, 1, 0, 0, 0
0.000047625000000, 0, 1, 0, 0, 0
0.000047750000000, 0, 1, 1, 0, 0
0.000048125000000, 0, 1, 0, 0, 0
0.000048250000000, 1, 1, 0, 0, 0
0.000048375000000, 1, 1, 1, 0, 0
0.000048750000000, 1, 1, 0, 0, 0
0.000048875000000, 0, 1, 0, 0, 0
0.000049000000000, 0, 1, 1, 0, 0
0.000049375000000, 0, 1, 0, 0, 0
0.000049500000000, 1, 1, 0, 0, 0
0.000049625000000, 1, 1, 1, 0, 0
0.000050125000000, 1, 0, 0, 0, 0
0.000050375000000, 0, 0, 0, 0, 0
0.000050500000000, 0, 0, 1, 0, 0
0.000050750000000, 0, 1, 0, 0, 0
0.000050875000000, 1, 1, 0, 0, 0
0.000051000000000, 1, 1, 1, 0, 0
0.000051500000000, 1, 0, 0, 0, 0
0.000051750000000, 1, 0, 1, 0, 0
0.000052125000000, 1, 1, 0, 0, 0
0.000052375000000, 1, 1, 1, 0, 0
0.000052750000000, 1, 1, 0, 0, 0
0.000053000000000, 1, 1, 1, 0, 0
