Time[s], MOSI, MISO, SCK, CSN, CE, IRQ
0.181231875000000, 1, 0, 1, 0, 0, 1
0.181235875000000, 1, 0, 0, 0, 0, 1
0.181238875000000, 1, 0, 1, 0, 0, 1
0.181242750000000, 1, 0, 0, 0, 0, 1
0.181244750000000, 0, 0, 0, 0, 0, 1
0.181245750000000, 0, 0, 1, 0, 0, 1
0.181249750000000, 0, 0, 0, 0, 0, 1
0.181251250000000, 1, 0, 0, 0, 0, 1
0.181252750000000, 1, 0, 1, 0, 0, 1
0.181256750000000, 1, 0, 0, 0, 0, 1
0.181258750000000, 0, 0, 0, 0, 0, 1
0.181259750000000, 0, 0, 1, 0, 0, 1
0.181263625000000, 0, 0, 0, 0, 0, 1
0.181266625000000, 0, 0, 1, 0, 0, 1
0.181270625000000, 0, 0, 0, 0, 0, 1
0.181272125000000, 1, 0, 0, 0, 0, 1
0.181273625000000, 1, 0, 1, 0, 0, 1
0.181277625000000, 1, 0, 0, 0, 0, 1
0.181280625000000, 1, 0, 1, 0, 0, 1
0.181284125000000, 1, 0, 0, 0, 0, 1
0.181293500000000, 0, 0, 0, 0, 0, 1
0.181294500000000, 0, 0, 1, 0, 0, 1
0.181298500000000, 0, 0, 0, 0, 0, 1
0.181301500000000, 0, 0, 1, 0, 0, 1
0.181305500000000, 0, 0, 0, 0, 0, 1
0.181307000000000, 1, 0, 0, 0, 0, 1
0.181308500000000, 1, 0, 1, 0, 0, 1
0.181312375000000, 1, 0, 0, 0, 0, 1
0.181315375000000, 1, 0, 1, 0, 0, 1
0.181319375000000, 1, 0, 0, 0, 0, 1
0.181322375000000, 1, 0, 1, 0, 0, 1
0.181326375000000, 1, 0, 0, 0, 0, 1
0.181329375000000, 1, 0, 1, 0, 0, 1
0.181333250000000, 1, 0, 0, 0, 0, 1
0.181335250000000, 0, 0, 0, 0, 0, 1
0.181336250000000, 0, 0, 1, 0, 0, 1
0.181340250000000, 0, 0, 0, 0, 0, 1
0.181341750000000, 1, 0, 0, 0, 0, 1
0.181343250000000, 1, 0, 1, 0, 0, 1
0.181346750000000, 1, 0, 0, 0, 0, 1
